username,text,date
Blog do Juares,Três casos de assalto com roubo de celular foram registrados no mesmo dia em Camaquã https://t.co/O8neK7dvvt,2019-05-16 12:18:20 UTC
Paula Teodoro ✈,"Tem mulher que acha lindo homem de moto. Eu já acho que é assalto.
Deus me dibre",2019-05-16 12:14:27 UTC
Edvaldo Galvão,Tentativa de assalto acaba com bandido morto nas proximidades da torre na BR-316 em Belém do São Francisco https://t.co/DPJmDyEmX5,2019-05-16 12:14:01 UTC
oliberal.com,Indícios apontam que policial foi vítima de assalto. https://t.co/GVe8WVsIBt,2019-05-16 12:12:02 UTC
leo,ta tendo um monte de assalto na unisul vou dizer q roubaram meu fichamento da marilha 👍,2019-05-16 12:07:56 UTC
Narjara,@Ma_azevedo17 Que assalto!,2019-05-16 12:05:22 UTC
Negão Lustroso 🏗️,@MBLivre pq só falam de assalto? Se todos tivessem educação diminuiria os assaltos,2019-05-16 12:01:56 UTC
TNOnline,Caminhonete da prefeitura de Ortigueira é levada durante assalto https://t.co/75Q5yb6IOm https://t.co/JE5iJGOP9F,2019-05-16 12:01:27 UTC
luci,@mateuzudo_ pq a gnt n coloca um show na tv e fica bebendo sem riscos de assalto ou morte?,2019-05-16 12:00:36 UTC
Tardelli Pires,Soldado da PM é baleado durante tentativa de assalto e mata suspeito https://t.co/RUAV7pMhAy https://t.co/sWEYo8DskQ,2019-05-16 11:59:41 UTC
Tardelli Pires,"Idoso reage a assalto e mata um assaltante, no Sertão da Paraíba https://t.co/lcBfANltKE https://t.co/p1ak9gbyaa",2019-05-16 11:59:37 UTC
MagnoRodrigues,@Haddad_Fernando Tenta reagir um assalto com um livro.,2019-05-16 11:58:36 UTC
walter silva martins,"Praça Seca está Mudando , 

Tolerância Zero , https://t.co/lZPvv6KSz4",2019-05-16 11:57:44 UTC
REPORTERPB,Homem reage a assalto e mata bandido em Cajazeiras; Comparsa foi preso em ação rápida da PM... https://t.co/QqlHVg1T7e,2019-05-16 11:56:29 UTC
G1 Bahia,Hóspede é baleado em saguão de flat durante assalto em Salvador https://t.co/nkjoWbMn5G,2019-05-16 11:56:23 UTC
Pereira Jr.,Homem reage a assalto e mata bandido em Cajazeiras; Comparsa foi preso em ação rápida da PM... https://t.co/ajLUotuSia,2019-05-16 11:56:22 UTC
Marcos Oliveira ⚡️,Bom dia pra quem já começou o dia correndo de assalto,2019-05-16 11:56:05 UTC
Portal Engeplus,"Família é rendida e ameaçada durante assalto a residência em Criciúma

https://t.co/2MjuvUDwo6",2019-05-16 11:55:00 UTC
G1 Campinas,Criminosos armados fazem família refém durante assalto em Hortolândia https://t.co/l8irYFZIrO,2019-05-16 11:54:10 UTC
juliomendes,"@DZamith @Haddad_Fernando @JornaldoBrasil Não faria sentido falar isso para um cidadão recém saído de um assalto. Que sugestão ruim, Daniel.",2019-05-16 11:53:29 UTC
matheusYuji,@GCGamerOficial Na minha visão parece ser mais um rifle de assalto,2019-05-16 11:51:38 UTC
Toine Das Iguarias,@davidson______ Se me deres o microondas juro que nao te assalto se me deres o piaçaba levas uma xinada,2019-05-16 11:49:53 UTC
paraibaurgente1,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa - https://t.co/6vH79yV4e4 https://t.co/3mQvuIcimM,2019-05-16 11:49:15 UTC
Alisson Bruno,"Polícia no Rio
Assalto: 😴 
Estupro: 😴
Vendendo quentinha: 😡",2019-05-16 11:47:14 UTC
belinha au au,show de Marília Mendonça no centro da cidade sete da noite? Fia o assalto vem viu,2019-05-16 11:42:30 UTC
CidadeVerde.com,PM atira em suspeito e impede assalto a idosa em Teresina #cidadeverde https://t.co/NhMc0yxW04,2019-05-16 11:41:22 UTC
Jornal A Tribuna,Irmãos imobilizam bandido que ameaçou os pais em assalto em Peruíbe https://t.co/lhvOwTf30N https://t.co/NiXyHkTZGA,2019-05-16 11:36:24 UTC
radarpb,Bandido morre durante assalto e outro é preso na zona rural de Cajazeiras https://t.co/ryyI9WJFM2 https://t.co/5zxmaUylg5,2019-05-16 11:35:47 UTC
lorena,08:35 da manhã e minha mãe mandando áudios contando como ela reagiu ao quase assalto,2019-05-16 11:35:31 UTC
BNews,Ladrão atira em turista durante assalto no hotel Iguatemi Business Flat; veja vídeo https://t.co/nDS4L9TLL2,2019-05-16 11:28:03 UTC
Jornal Correio,Hóspede é baleado durante assalto em hotel no Caminho das Árvores https://t.co/4bRzfxiPnk https://t.co/IpAJCn3EPj,2019-05-16 11:27:07 UTC
joão,e esse ep de cinco de mayo que foi o melhor assalto de todos de b99,2019-05-16 11:25:06 UTC
Gabriela,Meu primeiro bom dia foi presenciar um assalto na esquina de casa...,2019-05-16 11:22:30 UTC
Eduarda Pedroso,"Mão pro alto, isso é um assalto
Mas você já tá rendida pra mim..",2019-05-16 11:16:19 UTC
pitchulinha,"Tudo isso culpa do assalto, perdi minha escala e nem sabia que tinha esse plantão hoje.",2019-05-16 11:14:21 UTC
1999,"Crl meno 2,50 num cafezinho que assalto",2019-05-16 11:11:14 UTC
DIOGO HENRIQUE,@rodrigobocardi cara faz o mapa de assalto a motorista de aplicativos. #BDSP,2019-05-16 11:06:32 UTC
Gilson,Marcia Tuburi PSOL e PT. Tem uma lógica o assalto😡 https://t.co/V6MuG3vUIZ,2019-05-16 11:05:28 UTC
INGRID,"Assalto ontem ali pela minha rua e eu tirei o seguro do meu celular, aí crlh 😓",2019-05-16 11:01:42 UTC
desatolei um carro dia 04/05/2019,Ontem o vizinho chegou duas da manhã batendo as portas e nossa parede é compartilhada acordei surtando achando que era assalto,2019-05-16 11:00:10 UTC
D Araujo Style✂️✨,"Deus me livre ligo a televisão e nos jornais só fala de morte, assalto, deslizamento. Cruzes",2019-05-16 10:55:28 UTC
Se Liga Pilões-PB,#SeLigaPiloesPB --&gt;  Soldado da PM é baleado durante tentativa de assalto e mata suspeito… https://t.co/4VZcsc0EZz,2019-05-16 10:53:14 UTC
FALA PARAÍBA,Portal Lucena Informa: Idoso mata suspeito de tentativa de assalto em Caj... https://t.co/9wuTaOXnZj,2019-05-16 10:52:35 UTC
Pitbullzado,@Agg____ Assalto é para os fracos,2019-05-16 10:52:02 UTC
Mario Rafael,"eu sempre, depois de ajudar um estranho que me parou na rua e não acabou por ser um assalto ou scam https://t.co/z9CpNf5jnO",2019-05-16 10:49:11 UTC
Gabriel TH🚩,@ramonmatiasbr @DjCabelaoTrn22 @FavelaCaiuNoFac cuidado pra eu n ver essa moto na pista e tu perde de assalto rs,2019-05-16 10:47:50 UTC
Sarah Cristina,@vitoriabett Não se eu ganhar o assalto 😈,2019-05-16 10:47:28 UTC
Léo Ferreira,Idoso mata suspeito de tentativa de assalto em Cajazeiras https://t.co/0YC1mLuYxm,2019-05-16 10:45:24 UTC
Léo Ferreira,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa https://t.co/ydUCsNkJEj,2019-05-16 10:45:24 UTC
Almir Santos,Idoso mata suspeito de tentativa de assalto em Cajazeiras https://t.co/gusO5vv0CO,2019-05-16 10:44:21 UTC
Portal Diário 1,Idoso mata suspeito de tentativa de assalto em Cajazeiras https://t.co/WMSmXv0p2I,2019-05-16 10:44:19 UTC
Portal Diário 1,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa https://t.co/5uP7h4iZ0h,2019-05-16 10:44:18 UTC
Almir Santos,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa https://t.co/4BC5bYc1GD,2019-05-16 10:41:53 UTC
Ana,@lucas_guckert Assalto???,2019-05-16 10:30:23 UTC
isaβ,@wast3lands assalto ao banco central? 😛😛,2019-05-16 10:30:13 UTC
2N,e eu que sonhei que metia um assalto a banco pica com os cria numa sprinter 2020 blindada?,2019-05-16 10:24:00 UTC
sereia desse site,"são nem 7 hrs da manhã e ja teve assalto aqui na rua de casa, corre aqui Bolsonaro",2019-05-16 10:22:05 UTC
Kei Franco,"Nova modalidade de assalto!
Débito ou crédito?
CPF na Nota?
#CafeComJornal  #megale 
⁦@lmegale⁩ ⁦@joanatreptow⁩ https://t.co/qGzzdP93OC",2019-05-16 10:22:02 UTC
Notícias do RJ,Um bandido morre e dois são presos durante assalto à filial das Lojas Americanas #RJ https://t.co/bb73VLchvc,2019-05-16 10:20:27 UTC
Henrique Celestino,"Confie no seu potencial, reaja a um assalto com um livro na mão https://t.co/1l0x0C9sGh",2019-05-16 10:19:44 UTC
Viviii🌻,"Vendo as reportagens de assalto, fico pensando o dia q fui assaltada. Dia 21 agr faz 2 anos. É horrível a sensação de impunidade!🤦🏻‍♀️😥",2019-05-16 10:19:40 UTC
Marcos Salles,Policial reage a suposto assalto e mata bandido em João Pessoa https://t.co/Za60rBHqAq https://t.co/vLBJXnVLgu,2019-05-16 10:14:09 UTC
ExpressoPB,Policial reage a suposto assalto e mata bandido em João Pessoa https://t.co/veFbPiHCyb https://t.co/1Wc0OI134f,2019-05-16 10:14:07 UTC
Jornal Meia Hora,O caso aconteceu em um estabelecimento que fica na principal rua da Praça Seca. #MeiaHora https://t.co/xolwc0gvCT,2019-05-16 10:09:13 UTC
