username,text,date,
Blog do Edson Alves,BLOG DO EDSON ALVES | A Sua Rede de Notícias: SUSPEITOS DE ASSALTO A BANCO NA BAHIA SÃO ACHADOS ... https://t.co/P62nMk0k5S,2019-05-16 05:37:12 UTC,
Adelton Alves,Câmera flagra quando policial reage a suposto assalto e mata bandido em João Pessoa, assista https://t.co/T8wqzhIjJo https://t.co/xulOSKIL2S,2019-05-16 04:40:37 UTC
Portal do Litoral PB,"Soldado da PM reage a tentativa de assalto, leva tiro e mata suspeito; Veja vídeo https://t.co/bx3FTfiu9D https://t.co/LYOfJJVWR2",2019-05-16 04:22:21 UTC,
Portal T5,"Vídeo: policial reage a suposto assalto e deixa suspeito morto, em João Pessoa https://t.co/Gz6GDJzQjF https://t.co/gzd0zBvpE9",2019-05-16 04:17:03 UTC,
PL 🦋,Tentativa de assalto na Maragogi e eu desço minha rua quase correndo e as meninas acham que é engraçado  kkkk que ódio,2019-05-16 04:12:00 UTC,
Rio Guerra Civil,🚨 Tentativa de assalto termina com um morto e dois presos na Praça Seca - https://t.co/1f8aMbZVQB https://t.co/1f8aMbZVQB,2019-05-16 04:02:06 UTC,
Bruno Alvarez,Polícia prende integrante de grupo que matou dois durante assalto a ônibus na Via Dutra - O DIA https://t.co/dxhyHHRVlN,2019-05-16 03:28:03 UTC,
gabriellinha,o cara armou um assalto para assassinar a mulher. 3 tiros na cabeça e 12 anos para ser condenado.,2019-05-16 03:21:47 UTC,
camilly.,e o outro que fingiu um assalto e deu 3 tiros na cabeça da mulher pq ela terminou c ele...??????,2019-05-16 03:20:17 UTC,
Frank Eler Soares Re,ITAMARAJU | Criminoso em moto realiza assalto a pedestre https://t.co/mQl77K6kgS https://t.co/WKzrjAo9hs,2019-05-16 03:01:26 UTC,
Diário do Pará,Rodoviários e passageiros de ônibus são vítimas de assalto e protestam. Veja! https://t.co/SBYY0Mp3I6 https://t.co/cXOMj2IveF,2019-05-16 02:42:34 UTC,
Roberta,"@ArthurrOenning Ta tendo assalto direto ali, no estacionamento do Visão também, isso que no Visão tem câmera e segurança ta",2019-05-16 02:42:18 UTC,
Noticias capixabas,"Segundo suspeito de matar ciclista durante assalto é preso, no ES - G1 https://t.co/3tStsHx5Zn",2019-05-16 02:11:12 UTC,
Alice,q loucura esses assalto na unisul hj,2019-05-16 01:58:48 UTC,
Srt.Surtada 🤷🏼‍♀️,"Todo dia um caso diferente ali perto do 628 de assalto, TÁ DEMAIS!",2019-05-16 01:55:22 UTC,
Livia.,"E essa tentativa de assalto na Maragogi, eu to..... ????????????quê, coragem viu",2019-05-16 01:51:20 UTC,
Oenning,"Crlh unisul tá foda ultimamente, teve até assalto hj",2019-05-16 01:49:20 UTC,
Ana Carolina,"Madeireira sofreu uma tentativa de assalto

Adivinha quem tava dentro da madeireira",2019-05-16 01:49:07 UTC,
Alerta Rio 24 Horas,"Tentativa de assalto termina com um morto e dois presos na Praça Seca 

https://t.co/6dYyZp3OP0",2019-05-16 01:41:26 UTC,
Blog do Juares,Dupla é presa acusada de assalto a pedestre em Camaquã https://t.co/XcKtj1pXj2,2019-05-16 01:36:14 UTC,
aff,@OGlobo_Rio Teve assalto na americanas de Copacabana por volta desse horário .. estranho né,2019-05-16 01:33:00 UTC,
Fresh princess,"@klibreh Não, foi na frente no norte shopping, teve um assalto e os assaltantes fugiram, ai o PM saiu atirando c fuzil no meio da rua",2019-05-16 01:32:29 UTC,
Karyna.franco,Quase td dia tá tendo assalto na porta do shopping,2019-05-16 01:26:43 UTC,
GaúchaZH,Criminoso morto em confronto com a Brigada Militar era investigado por assalto a empresa de ônibus https://t.co/R4ENndELCN,2019-05-16 01:10:00 UTC,
Guedes,"@melodaph @qdudaz Hj teve assalto na estação do metropolitano, eu vi",2019-05-16 01:09:20 UTC,
Rafaella Marinho,"Tentativa de assalto agora no Norte Shopping, meu Deus, que desespero",2019-05-16 00:56:46 UTC,
ℓυυ∂ 🏹,"Mais um assalto a ônibus aqui em menos de uma semana, tá virando costume já!!",2019-05-16 00:50:57 UTC,
Ingrid G.,"Gente essa favela tá abandonada msm , tentativa de assalto na maragogi ??????? Tá de sacanagem 😰",2019-05-16 00:47:07 UTC,
Lore Stark 👑,"Mais um dia normal indo pro ponto e presenciando um assalto na porta da faculdade 
Adrenalina pura",2019-05-16 00:46:55 UTC,
Portal do Urubui,Família é feita refém em casa durante assalto na Zona Norte de Manaus https://t.co/P4ZQkFmqyG,2019-05-16 00:46:13 UTC,
Nuvem,Assalto na Leos,2019-05-16 00:37:09 UTC,
Eduarda,"Toda semana ouvindo sobre assalto na unisul, cada vez mais saindo de lá de noite com medo",2019-05-16 00:29:46 UTC,
ju,carajo acabou de ter um assalto aqui no shopping,2019-05-16 00:28:11 UTC,
Rio de Nojeira,"UM BANDIDO MORTO E 2 PRESOS 

Assalto agora há pouco na Lojas Americanas na Praça Seca.

#praçaseca
#pmerj https://t.co/jg7AZo0dkk",2019-05-16 00:23:53 UTC,
Noticias capixabas,Suspeito de matar ciclista em Vitória é preso com arma do crime e celular de vítima - G1 https://t.co/iHD3CjuplP,2019-05-16 00:11:10 UTC,
kevin malvadeza 🐺,Gente tá tendo onda de assalto na região da Unisul do campus pedra branca tomem cuidado,2019-05-15 23:58:53 UTC,
Favela Caiu No Face,"Assalto agora na loja Americana da praça seca.

Um bandido morto e dois presos no local. https://t.co/diGUWkgTar",2019-05-15 23:58:30 UTC,
Thaina,"Ah pronto, tá tendo assalto agr na faculdade. Era só oq faltava pra completar a desgraça q é a faculdade",2019-05-15 23:53:04 UTC,
Itamaraju Notícias,ITAMARAJU | Criminoso em moto realiza assalto a pedestre https://t.co/jS5RV0XaHT https://t.co/oVGSlfC0HS,2019-05-15 23:49:38 UTC,
Jacarepaguá Notícias RJ,"📌 PRAÇA SECA | 🚨ASSALTO

📝 "" Assalto nas Lojas Americanas,""",2019-05-15 23:49:07 UTC,
🚨 Noticias do RJ 🚨,"Tentativa de assalto a lojas Americanas na Praça seca, resultado, 2 presos e 1 morto. https://t.co/wWRPzH1R9X",2019-05-15 23:40:01 UTC,
Bia,Toda semana um assalto diferente na lojas americanas da praça,2019-05-15 23:33:27 UTC,
MONTE SINAI,"Assalto com refém na lojas americanas da Praça Seca,no momento🚨🚨 Vou confirmar esse informe senhores",2019-05-15 23:22:32 UTC,
Hiel Levy,Veja esse assalto ousado no Uai Shopping https://t.co/0QpMCQd1UG https://t.co/u0kxjhjPEB,2019-05-15 23:05:19 UTC,
A S T R O  B L A C K,"É sinistro boy, a maldade no Brasil, acabei de ver um bagui de assalto em São Paulo sinistro.",2019-05-15 22:51:04 UTC,
Neia,"Assalto na Uber, fiquem espertos https://t.co/VBLZMXnkOD via @YouTube #uber #99pop #YouTube #dica",2019-05-15 22:39:42 UTC,
Notícias de Timon,Preso mais um suspeito do assalto ao banco de Campo Maior após fazer homem refém no PI https://t.co/Fzlcf55Gp2,2019-05-15 22:07:01 UTC,
bea ✨,vi um assalto em gdlp hj que eu to nervosa até agr jesusss,2019-05-15 22:04:55 UTC,
surgiu.com.br,Dupla é condenada a mais de 20 anos de prisão por assassinar idoso que reagiu a assalto https://t.co/Tk2IDWqgSJ https://t.co/XF5b2oT7Me,2019-05-15 22:04:24 UTC,
